Results from Equal-Weighted Portfolio Sorts of Excess Returns in t+3 of Equity-Related Hedge Funds Based on UP in t,,,,,,,
Year,Month,Future Return in % (t+3) PF1,Future Return in % (t+3) PF2,Future Return in % (t+3) PF3,Future Return in % (t+3) PF4,Future Return in % (t+3) PF5,Strategy: PF5 Minus PF1 in %
2005,9,1.43064,1.34479,0.95856,1.82967,2.25314,0.82251
2005,10,-1.28382,-1.01900,-1.97723,-2.24772,-2.43652,-1.15270
2005,11,1.63724,1.81598,1.00685,1.38111,2.07452,0.43728
2005,12,0.83515,0.94562,0.72891,1.15282,1.57036,0.73521
2006,1,4.35675,2.56110,3.30191,2.58426,3.31459,-1.04216
2006,2,0.36867,-0.02548,0.33000,-0.20058,-0.90903,-1.27770
2006,3,0.56470,1.45131,1.39080,1.37060,1.75487,1.19017
2006,4,0.29951,1.10512,0.72219,0.76477,1.94801,1.64850
2006,5,-2.11095,-1.60930,-2.32839,-3.39634,-1.89103,0.21992
2006,6,-0.76198,-0.85503,-0.74996,-0.48541,-0.76266,-0.00067
2006,7,-1.52971,-0.83109,-0.80119,-0.86615,-1.13414,0.39557
2006,8,0.85509,0.72369,0.56060,0.67234,0.41482,-0.44027
2006,9,-0.55223,0.08949,0.29747,-0.05927,-0.21269,0.33955
2006,10,2.71331,1.49505,1.65821,1.58337,1.21658,-1.49673
2006,11,1.30583,1.29287,1.51537,1.84587,2.26765,0.96182
2006,12,0.62940,0.55662,1.18354,0.76732,0.89501,0.26561
2007,1,0.38373,0.99663,0.74584,0.67903,1.47921,1.09548
2007,2,0.23285,-0.80715,0.08225,0.12694,1.56193,1.32908
2007,3,1.04542,0.63550,0.32197,0.48480,0.27301,-0.77241
2007,4,2.66464,2.13423,1.42200,1.39126,1.42985,-1.23479
2007,5,2.19343,1.80401,1.32567,1.99862,3.15343,0.96000
2007,6,-0.06373,-0.27475,-0.03489,-0.09112,1.03405,1.09778
2007,7,-0.73009,-1.76956,-0.31767,-0.99428,0.83997,1.57006
2007,8,-2.36588,-0.70331,-1.87103,-1.16032,-3.06021,-0.69433
2007,9,1.83123,1.75635,1.29097,1.81613,3.85059,2.01937
2007,10,1.84704,1.55964,1.75260,2.99501,4.36600,2.51896
2007,11,-3.05509,-3.45816,-2.92313,-1.91999,-1.80497,1.25012
2007,12,-0.14501,-0.16075,-0.36419,0.19280,-0.00061,0.14440
2008,1,-3.03119,-2.99199,-3.54774,-3.25313,-2.29577,0.73542
2008,2,-0.99589,0.06099,0.19016,1.03316,2.42398,3.41987
2008,3,-3.43412,-2.04192,-1.54799,-1.70294,-2.08935,1.34476
2008,4,2.47774,2.04796,2.31072,1.73951,1.85664,-0.62110
2008,5,2.39545,2.48806,1.86799,1.82851,2.80868,0.41323
2008,6,-3.61990,-2.03351,-2.26115,-1.51920,-0.45131,3.16859
2008,7,-3.42526,-2.79473,-1.97155,-2.06614,-1.92780,1.49747
2008,8,-0.98505,-1.60690,0.07855,-0.18364,-1.43764,-0.45259
2008,9,-10.20509,-7.05953,-7.42018,-5.98428,-6.17587,4.02922
2008,10,-11.90422,-11.46609,-8.09763,-6.00213,-7.98159,3.92263
2008,11,-4.09951,-6.06775,-3.65203,-3.89009,-3.73177,0.36774
2008,12,2.29525,0.27405,-0.46613,0.25149,0.29959,-1.99565
2009,1,-0.57523,0.65848,0.60465,0.50354,-0.23011,0.34513
2009,2,-3.09628,-0.77085,-3.13151,-1.42676,-1.65096,1.44531
2009,3,3.20101,1.65816,1.87079,2.48544,3.98602,0.78501
2009,4,4.93206,4.32614,6.76838,4.81355,4.51157,-0.42048
2009,5,5.36371,4.14526,5.57710,5.29031,7.12557,1.76186
2009,6,0.18307,0.48353,0.32118,0.88296,1.31305,1.12998
2009,7,4.21637,3.28631,3.64880,4.36908,3.48251,-0.73386
2009,8,1.61444,2.47879,1.62636,1.97316,1.17696,-0.43747
2009,9,3.42811,2.88972,3.96444,3.00969,3.92991,0.50180
2009,10,-1.43732,-0.34490,-0.91010,-0.69434,-0.55292,0.88441
2009,11,2.74215,2.07184,1.51214,1.67756,1.70727,-1.03487
2009,12,2.65020,1.69922,2.58531,2.08183,2.71491,0.06471
2010,1,-1.31820,-1.29628,-1.09766,-0.68629,0.00040,1.31860
2010,2,0.76722,1.30973,1.18205,1.36038,1.55385,0.78663
2010,3,1.94124,2.70939,2.93829,3.39593,4.51421,2.57297
2010,4,1.51726,0.74041,1.72734,1.93003,1.46628,-0.05098
2010,5,-3.39754,-2.60339,-3.01736,-4.31165,-4.48746,-1.08992
2010,6,-1.62890,-1.53519,-2.17875,-1.96664,-1.21228,0.41662
2010,7,2.19275,3.04328,2.02857,2.44746,1.92021,-0.27253
2010,8,-1.65193,-1.61291,-1.22868,-0.72090,0.28089,1.93281
2010,9,4.11514,5.50405,3.83950,3.76474,4.61973,0.50459
2010,10,2.30164,2.13379,2.48747,2.33202,3.00715,0.70551
2010,11,0.31935,0.12658,0.50886,0.17748,0.68041,0.36106
2010,12,2.40690,3.00738,3.24853,3.24807,4.22648,1.81957
2011,1,0.93947,0.76547,0.72152,1.04323,0.32179,-0.61768
2011,2,1.12252,1.59299,1.21197,1.69643,2.37250,1.24998
2011,3,1.04645,0.49769,-0.20828,0.14974,0.05095,-0.99550
2011,4,1.22112,1.74340,1.53506,1.85209,0.65820,-0.56293
2011,5,-1.46669,-1.05397,-0.99208,-0.99795,-0.77625,0.69044
2011,6,-1.67945,-1.17508,-1.21294,-1.14559,-1.22720,0.45225
2011,7,-0.12747,-0.86899,-0.56768,-0.48985,-0.05171,0.07577
2011,8,-4.77875,-3.78383,-3.92785,-4.81552,-3.75939,1.01936
2011,9,-4.09441,-3.84640,-5.41695,-5.25286,-5.03056,-0.93615
2011,10,4.38337,4.68767,3.81997,3.84311,3.91845,-0.46492
2011,11,-1.34976,-1.13564,-0.55688,-0.48318,-1.29575,0.05401
2011,12,-1.34881,0.03984,-0.39754,0.05685,-0.50147,0.84734
2012,1,3.61703,2.64806,3.45202,3.09451,3.61085,-0.00618
2012,2,2.39536,1.92835,2.30188,2.25175,2.24696,-0.14840
2012,3,0.16405,0.58848,0.90050,-0.07700,-0.04224,-0.20629
2012,4,-0.51426,-0.41226,-0.46428,-0.49215,-0.65276,-0.13849
2012,5,-3.22635,-4.24576,-3.06516,-2.78128,-3.57021,-0.34386
2012,6,0.93163,0.89505,0.37906,0.68054,0.55929,-0.37234
2012,7,0.44971,0.20887,0.24465,0.29412,0.38141,-0.06830
2012,8,1.08624,1.05808,0.80354,1.28890,1.49999,0.41375
2012,9,0.64182,1.35912,1.66237,1.42038,1.32466,0.68284
2012,10,-0.26450,-0.04673,0.02618,-0.00526,-0.15454,0.10996
2012,11,-0.08323,0.65063,0.59798,0.18689,0.84715,0.93038
2012,12,0.78752,1.46649,1.24934,2.09875,1.67867,0.89115
2013,1,2.21862,2.72513,2.92015,2.71777,3.15458,0.93596
2013,2,0.07839,0.39681,0.30604,-0.10530,-0.03974,-0.11813
2013,3,1.51438,1.70175,1.16257,1.42641,0.67808,-0.83629
2013,4,0.54733,0.46283,0.79457,0.23800,1.26817,0.72085
2013,5,1.70567,1.96872,1.29617,1.94370,1.47642,-0.22926
2013,6,-1.98235,-1.33027,-0.86633,-0.78592,-0.42233,1.56002
2013,7,2.09963,2.00379,2.30497,2.10135,2.28386,0.18423
2013,8,-0.28592,-1.04599,-0.60065,-0.44868,-1.21921,-0.93329
2013,9,2.69879,1.90801,1.99266,2.75512,2.48690,-0.21189
2013,10,2.12788,1.42416,1.29572,2.24464,1.97456,-0.15331
2013,11,1.16385,1.33900,1.04657,1.34372,1.32225,0.15841
2013,12,1.48266,0.88179,1.53530,1.53749,1.43516,-0.04750
2014,1,-0.59962,-0.20617,-0.79185,-0.41514,-0.73306,-0.13344
2014,2,2.53294,2.23401,2.40511,2.70539,2.39903,-0.13391
2014,3,0.24505,0.01439,-0.11248,-0.75557,-0.90483,-1.14988
2014,4,-0.59260,-0.69191,-0.63373,-0.75764,-0.74299,-0.15039
2014,5,1.16548,1.01121,0.39510,0.67188,0.83472,-0.33077
2014,6,1.59190,1.15132,1.23848,2.08001,1.61990,0.02800
2014,7,-0.85934,-1.19498,-1.06006,-1.13738,-1.45014,-0.59080
2014,8,1.12124,1.48123,1.40678,1.58838,1.43608,0.31484
2014,9,-2.55472,-1.38022,-1.20979,-1.81371,-0.76577,1.78895
2014,10,0.22989,-0.93360,0.23050,-0.01784,-0.95806,-1.18796
2014,11,-0.31777,0.85420,0.61843,1.25570,0.70571,1.02348
2014,12,-1.03281,0.07529,-0.82660,0.38197,0.06502,1.09782
2015,1,-2.73020,-1.16906,-0.59415,0.15682,-0.39464,2.33556
2015,2,2.75324,3.13768,2.60507,2.86878,2.25395,-0.49929
2015,3,-1.38678,0.00915,0.24790,0.66095,1.13707,2.52385
2015,4,2.00729,-0.22250,0.24355,0.79055,-0.07926,-2.08655
2015,5,0.22320,0.67599,0.92963,1.09300,0.86426,0.64106
2015,6,-1.90789,-1.25976,-1.19789,-0.67044,-0.74524,1.16265
2015,7,-0.10334,-0.31484,-0.37086,-0.46315,-2.43443,-2.33110
2015,8,-4.53227,-2.90981,-1.77713,-2.34627,-2.52506,2.00721
2015,9,-0.94785,-2.86185,-1.92900,-2.15336,-1.64274,-0.69489
2015,10,1.77792,2.76875,2.48461,1.77792,0.82540,-0.95252
2015,11,-0.47463,0.24422,0.34958,0.12428,0.97602,1.45065
2015,12,-1.84505,-1.93573,-0.60432,-0.83817,-0.47426,1.37080
2016,1,-3.23581,-4.67983,-4.06863,-2.17162,-2.81313,0.42268
2016,2,-1.03886,-0.52238,-0.60439,-0.60759,-0.23592,0.80294
2016,3,1.89526,1.15892,1.97138,2.78202,3.53188,1.63663
2016,4,1.01328,0.27508,1.68370,1.19787,0.55375,-0.45953
2016,5,-0.01540,0.98504,0.36702,1.39724,0.52490,0.54030
2016,6,-0.20812,0.33375,-0.28712,0.23381,0.40121,0.60934
2016,7,2.13842,2.88299,1.87297,1.67650,2.06248,-0.07594
2016,8,0.95294,0.20668,0.66863,0.86694,0.41060,-0.54235
2016,9,0.49468,0.64019,0.70764,0.89127,1.29407,0.79939
2016,10,-1.10283,-0.86810,-0.82703,-0.58291,-0.66003,0.44280
2016,11,0.71088,1.08600,1.67939,1.06924,1.87557,1.16470
2016,12,0.98575,0.71797,0.79674,0.62587,1.16198,0.17623
2017,1,0.38357,1.35003,1.23135,1.24204,1.69717,1.31360
2017,2,1.28892,0.35406,0.89357,0.58199,0.55122,-0.73770
2017,3,0.52754,0.32955,0.65674,0.42374,1.03111,0.50357
2017,4,0.67977,0.65452,0.59373,0.63596,1.40518,0.72541
2017,5,-0.09663,0.46992,0.09430,0.22041,0.30568,0.40231
2017,6,0.21368,0.69249,0.59661,0.59047,1.55112,1.33744
2017,7,0.83261,1.07438,0.73835,1.17543,1.01777,0.18516
2017,8,0.07804,0.53665,-0.28925,0.83325,0.68673,0.60869
2017,9,0.60659,0.75519,1.05867,1.67015,0.63093,0.02434
2017,10,0.12301,1.90438,0.48596,0.83102,0.73634,0.61333
2017,11,0.49254,0.41062,0.91794,0.73758,0.20519,-0.28735
2017,12,2.11833,1.02403,2.25752,1.14391,1.07361,-1.04472
